{[36.0, 1.0, 9.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0];negative}
{[37.0, 1.0, 9.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0];negative}
{[38.0, 1.0, 9.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0];negative}
{[39.0, 1.0, 9.0, 3.0, 1.0, 0.0, 0.0, 1.0, 1.0];negative}
{[40.0, 1.0, 10.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0];negative}
{[41.0, 1.0, 10.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0];negative}
{[42.0, 1.0, 10.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0];negative}
{[43.0, 1.0, 10.0, 3.0, 1.0, 0.0, 0.0, 1.0, 1.0];negative}
{[44.0, 1.0, 11.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0];negative}
{[45.0, 1.0, 11.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0];negative}
{[46.0, 1.0, 11.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0];negative}
{[47.0, 1.0, 11.0, 3.0, 1.0, 0.0, 0.0, 0.0, 1.0];negative}
{[48.0, 1.0, 12.0, 0.0, 2.0, 0.0, 0.0, 0.0, 0.0];negative}
{[49.0, 1.0, 12.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0];negative}
{[50.0, 1.0, 12.0, 2.0, 2.0, 0.0, 0.0, 1.0, 0.0];negative}
{[51.0, 1.0, 12.0, 3.0, 2.0, 0.0, 0.0, 1.0, 0.0];negative}
{[52.0, 1.0, 13.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0];negative}
{[53.0, 1.0, 13.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0];negative}
{[54.0, 1.0, 13.0, 2.0, 3.0, 0.0, 0.0, 1.0, 0.0];negative}
{[55.0, 1.0, 13.0, 3.0, 3.0, 0.0, 0.0, 1.0, 1.0];negative}
{[56.0, 1.0, 14.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0];negative}
{[57.0, 1.0, 14.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0];negative}
{[58.0, 1.0, 14.0, 2.0, 3.0, 0.0, 0.0, 1.0, 0.0];negative}
{[59.0, 1.0, 14.0, 3.0, 3.0, 0.0, 0.0, 1.0, 1.0];negative}
{[60.0, 1.0, 15.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0];negative}
{[61.0, 1.0, 15.0, 1.0, 3.0, 0.0, 0.0, 0.0, 0.0];negative}
{[62.0, 1.0, 15.0, 2.0, 3.0, 0.0, 0.0, 1.0, 0.0];negative}
{[63.0, 1.0, 15.0, 3.0, 3.0, 0.0, 0.0, 1.0, 0.0];negative}
{[64.0, 1.0, 16.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0];negative}
{[65.0, 1.0, 16.0, 1.0, 4.0, 0.0, 0.0, 0.0, 0.0];negative}
{[66.0, 1.0, 16.0, 2.0, 4.0, 0.0, 0.0, 1.0, 0.0];negative}
{[67.0, 1.0, 16.0, 3.0, 4.0, 0.0, 0.0, 1.0, 1.0];negative}
